HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Gainesville, FL",1834 ,303 ,469 ,1152 ,88 ,195 ,464038 ,96829 ,92808 ,19473 ,4224 ,1298 ,3 ,113%,71%,649,138%,56%,35%,423,90%,37%,23%,282,320%,145%,93%,141,160%,72%,47%,92,105%,47%,30%
"Gary, IN",1434 ,179 ,638 ,1036 ,95 ,137 ,392167 ,80990 ,78433 ,16441 ,3562 ,1096 ,2 ,106%,76%,548,86%,53%,38%,357,56%,34%,25%,237,249%,173%,132%,119,125%,87%,66%,77,81%,56%,43%
"Grand Forks, ND",952 ,31 ,374 ,663 ,18 ,24 ,130084 ,25793 ,26017 ,5433 ,1172 ,362 ,1 ,55%,38%,181,48%,27%,19%,118,32%,18%,12%,78,433%,325%,252%,39,217%,163%,126%,25,139%,104%,81%
"Grand Junction, CO",696 ,75 ,321 ,509 ,33 ,54 ,270519 ,57077 ,54104 ,11364 ,2468 ,758 ,2 ,149%,109%,379,118%,74%,54%,247,77%,49%,35%,165,500%,306%,220%,82,248%,152%,109%,54,164%,100%,72%
"Grand Rapids, MI",2440 ,236 ,957 ,1699 ,86 ,161 ,933913 ,171359 ,186783 ,38745 ,8289 ,2583 ,3 ,152%,106%,"1,292",135%,76%,53%,842,88%,50%,35%,553,643%,343%,234%,276,321%,171%,117%,180,209%,112%,76%
"Great Falls, MT",937 ,50 ,367 ,652 ,27 ,39 ,114922 ,25583 ,22984 ,4853 ,1061 ,324 ,1 ,50%,35%,162,44%,25%,17%,106,29%,16%,11%,71,263%,182%,142%,35,130%,90%,70%,23,85%,59%,46%
"Greeley, CO",792 ,79 ,396 ,594 ,28 ,54 ,294267 ,55594 ,58853 ,12238 ,2626 ,816 ,2 ,137%,103%,408,103%,69%,52%,266,67%,45%,34%,175,625%,324%,222%,88,314%,163%,111%,57,204%,106%,72%
"Green Bay, WI",990 ,112 ,498 ,744 ,43 ,77 ,402953 ,88095 ,80591 ,16986 ,3704 ,1132 ,2 ,152%,114%,566,114%,76%,57%,369,74%,50%,37%,247,574%,321%,221%,123,286%,160%,110%,81,188%,105%,72%
"Greensboro, NC",1224 ,135 ,362 ,793 ,47 ,91 ,505727 ,100544 ,101145 ,21128 ,4559 ,1409 ,4 ,178%,115%,704,194%,89%,58%,459,127%,58%,38%,304,647%,334%,225%,152,323%,167%,113%,99,211%,109%,73%
"Greenville, NC",1977 ,339 ,631 ,1304 ,115 ,227 ,679309 ,136432 ,135862 ,28406 ,6136 ,1894 ,3 ,145%,96%,947,150%,73%,48%,618,98%,47%,31%,409,356%,180%,121%,205,178%,90%,60%,133,116%,59%,39%
"Greenville, SC",2217 ,282 ,798 ,1507 ,41 ,161 ,743619 ,153533 ,148724 ,31175 ,6755 ,2078 ,3 ,138%,94%,"1,039",130%,69%,47%,678,85%,45%,31%,450,1098%,280%,160%,225,549%,140%,80%,147,359%,91%,52%
"Gulfport, MS",609 ,80 ,287 ,448 ,40 ,60 ,159671 ,28559 ,31934 ,6610 ,1411 ,441 ,2 ,98%,72%,220,77%,49%,36%,144,50%,32%,24%,94,235%,157%,118%,47,118%,78%,59%,31,78%,52%,39%
"Hackensack, NJ",3819 ,175 ,1057 ,2438 ,98 ,137 ,1048868 ,200075 ,209774 ,43658 ,9379 ,2911 ,3 ,119%,76%,"1,455",138%,60%,38%,949,90%,39%,25%,625,638%,456%,357%,313,319%,228%,179%,204,208%,149%,117%
"Harlingen, TX",1145 ,120 ,536 ,840 ,44 ,82 ,418633 ,76061 ,83727 ,17353 ,3709 ,1157 ,2 ,138%,101%,578,108%,69%,50%,377,70%,45%,33%,247,561%,301%,206%,124,282%,151%,103%,81,184%,99%,68%
"Harrisburg, PA",2426 ,211 ,929 ,1677 ,61 ,136 ,825408 ,183199 ,165082 ,34846 ,7613 ,2323 ,3 ,139%,96%,"1,162",125%,69%,48%,758,82%,45%,31%,508,833%,374%,241%,254,416%,187%,120%,166,272%,122%,79%
"Hartford, CT",2855 ,323 ,751 ,1803 ,115 ,219 ,1196337 ,245503 ,239267 ,50125 ,10853 ,3342 ,4 ,185%,117%,"1,671",223%,93%,59%,"1,090",145%,60%,38%,724,630%,331%,224%,362,315%,165%,112%,236,205%,108%,73%
"Hattiesburg, MS",1546 ,85 ,504 ,1025 ,30 ,57 ,240419 ,46076 ,48084 ,10011 ,2152 ,667 ,1 ,65%,43%,334,66%,33%,22%,218,43%,21%,14%,143,477%,251%,168%,72,240%,126%,85%,47,157%,82%,55%
"Hickory, NC",603 ,64 ,253 ,428 ,25 ,45 ,229268 ,51364 ,45854 ,9688 ,2119 ,646 ,3 ,151%,107%,323,128%,75%,54%,211,83%,49%,35%,141,564%,313%,220%,71,284%,158%,111%,46,184%,102%,72%
"Hinsdale, IL",1041 ,172 ,402 ,721 ,89 ,130 ,385733 ,67856 ,77147 ,15947 ,3397 ,1063 ,3 ,147%,102%,532,132%,74%,51%,347,86%,48%,33%,226,254%,174%,131%,113,127%,87%,66%,74,83%,57%,43%
"Honolulu, HI",2623 ,219 ,795 ,1709 ,73 ,146 ,1114023 ,238126 ,222805 ,46857 ,10192 ,3124 ,4 ,183%,119%,"1,562",196%,91%,60%,"1,019",128%,60%,39%,679,930%,465%,310%,340,466%,233%,155%,222,304%,152%,101%
"Houma, LA",707 ,65 ,399 ,553 ,32 ,49 ,206176 ,37957 ,41235 ,8556 ,1831 ,570 ,1 ,103%,81%,285,71%,52%,40%,186,47%,34%,26%,122,381%,249%,188%,61,191%,124%,94%,40,125%,82%,62%
"Houston, TX",14062 ,1790 ,5130 ,9596 ,652 ,1221 ,5278689 ,769270 ,1055738 ,215206 ,45055 ,14347 ,3 ,150%,102%,"7,174",140%,75%,51%,"4,678",91%,49%,33%,"3,004",461%,246%,168%,"1,502",230%,123%,84%,979,150%,80%,55%
"Hudson, FL",1188 ,160 ,329 ,758 ,45 ,102 ,351228 ,112737 ,70246 ,15489 ,3553 ,1033 ,3 ,136%,87%,516,157%,68%,43%,337,102%,44%,28%,237,527%,232%,148%,118,262%,116%,74%,77,171%,75%,48%
"Huntington, WV",1561 ,162 ,382 ,971 ,64 ,113 ,276340 ,63341 ,55268 ,11704 ,2567 ,780 ,2 ,80%,50%,390,102%,40%,25%,254,66%,26%,16%,171,267%,151%,106%,86,134%,76%,53%,56,88%,50%,35%
"Huntsville, AL",1804 ,248 ,569 ,1187 ,59 ,154 ,506155 ,100153 ,101231 ,21137 ,4558 ,1409 ,2 ,119%,78%,705,124%,59%,39%,460,81%,39%,25%,304,515%,197%,123%,152,258%,99%,61%,99,168%,64%,40%
"Idaho Falls, ID",492 ,44 ,269 ,381 ,24 ,34 ,169856 ,28437 ,33971 ,6995 ,1483 ,466 ,2 ,122%,95%,233,87%,61%,47%,152,57%,40%,31%,99,413%,291%,225%,49,204%,144%,111%,32,133%,94%,73%
"Indianapolis, IN",7441 ,1081 ,3350 ,5396 ,403 ,742 ,2249394 ,412838 ,449879 ,93321 ,19966 ,6221 ,2 ,115%,84%,"3,111",93%,58%,42%,"2,029",61%,38%,27%,"1,331",330%,179%,123%,666,165%,90%,62%,434,108%,58%,40%
"Iowa City, IA",1414 ,147 ,538 ,976 ,64 ,106 ,279218 ,53012 ,55844 ,11618 ,2494 ,775 ,1 ,79%,55%,387,72%,40%,27%,253,47%,26%,18%,166,259%,157%,113%,83,130%,78%,56%,54,84%,51%,37%
"Jackson, MS",4425 ,406 ,1964 ,3194 ,149 ,277 ,792834 ,152349 ,158567 ,33022 ,7099 ,2201 ,1 ,69%,50%,"1,101",56%,34%,25%,718,37%,22%,16%,473,317%,171%,117%,237,159%,86%,58%,154,103%,56%,38%
"Jackson, TN",1063 ,115 ,423 ,743 ,57 ,86 ,256100 ,58414 ,51220 ,10842 ,2376 ,723 ,2 ,97%,68%,361,85%,49%,34%,236,56%,32%,22%,158,277%,184%,137%,79,139%,92%,69%,52,91%,60%,45%
"Jacksonville, FL",4947 ,618 ,1625 ,3286 ,183 ,400 ,1340118 ,254567 ,268024 ,55761 ,11973 ,3717 ,2 ,113%,75%,"1,859",114%,57%,38%,"1,212",75%,37%,24%,798,436%,200%,129%,399,218%,100%,65%,260,142%,65%,42%
"Johnson City, TN",956 ,94 ,342 ,649 ,39 ,66 ,235522 ,51395 ,47104 ,9926 ,2164 ,662 ,2 ,102%,69%,331,97%,51%,35%,216,63%,33%,23%,144,369%,218%,153%,72,185%,109%,77%,47,121%,71%,50%
"Johnstown, PA",741 ,44 ,426 ,584 ,25 ,35 ,170816 ,45254 ,34163 ,7351 ,1642 ,490 ,1 ,84%,66%,245,58%,42%,33%,160,38%,27%,22%,109,436%,311%,248%,55,220%,157%,125%,36,144%,103%,82%
"Joliet, IL",1376 ,149 ,662 ,1019 ,53 ,101 ,516812 ,90546 ,103362 ,21359 ,4549 ,1424 ,2 ,140%,103%,712,108%,70%,52%,464,70%,46%,34%,303,572%,300%,203%,152,287%,150%,102%,99,187%,98%,66%
"Jonesboro, AR",975 ,76 ,403 ,689 ,23 ,50 ,185969 ,38518 ,37194 ,7799 ,1690 ,520 ,1 ,75%,53%,260,65%,38%,27%,170,42%,25%,17%,113,491%,226%,149%,56,243%,112%,74%,37,161%,74%,49%
"Joplin, MO",1045 ,124 ,507 ,776 ,71 ,97 ,282798 ,63826 ,56560 ,11959 ,2618 ,797 ,2 ,103%,76%,399,79%,51%,38%,260,51%,34%,25%,175,246%,180%,141%,87,123%,90%,70%,57,80%,59%,46%
"Kalamazoo, MI",1462 ,139 ,681 ,1072 ,21 ,80 ,520196 ,104986 ,104039 ,21762 ,4703 ,1451 ,2 ,135%,99%,725,106%,68%,50%,473,69%,44%,32%,314,1495%,393%,226%,157,748%,196%,113%,102,486%,128%,73%
"Kansas City, MO",6736 ,795 ,2646 ,4691 ,286 ,541 ,1950902 ,362250 ,390180 ,81017 ,17355 ,5401 ,2 ,115%,80%,"2,701",102%,58%,40%,"1,761",67%,38%,26%,"1,157",405%,214%,146%,578,202%,107%,73%,377,132%,70%,47%
"Kettering, OH",923 ,138 ,412 ,667 ,42 ,90 ,334281 ,73199 ,66856 ,14093 ,3074 ,940 ,2 ,141%,102%,470,114%,70%,51%,306,74%,46%,33%,205,488%,228%,149%,102,243%,113%,74%,67,160%,74%,49%
"Kingsport, TN",1485 ,185 ,668 ,1077 ,75 ,130 ,375852 ,93948 ,75170 ,16067 ,3562 ,1071 ,2 ,99%,72%,536,80%,50%,36%,349,52%,32%,24%,237,316%,182%,128%,119,159%,92%,64%,77,103%,59%,42%
"Knoxville, TN",3193 ,299 ,1198 ,2195 ,74 ,186 ,1108058 ,250729 ,221612 ,46870 ,10263 ,3125 ,3 ,142%,98%,"1,562",130%,71%,49%,"1,019",85%,46%,32%,684,924%,368%,229%,342,462%,184%,114%,223,301%,120%,75%
"La Crosse, WI",650 ,78 ,286 ,468 ,44 ,61 ,279590 ,60747 ,55918 ,11779 ,2567 ,785 ,3 ,168%,121%,393,137%,84%,60%,256,90%,55%,39%,171,389%,280%,219%,86,195%,141%,110%,56,127%,92%,72%
"Lafayette, IN",457 ,34 ,193 ,325 ,14 ,24 ,199535 ,31824 ,39907 ,8187 ,1728 ,546 ,3 ,168%,119%,273,141%,84%,60%,178,92%,55%,39%,115,821%,479%,338%,58,414%,242%,171%,38,271%,158%,112%
"Lafayette, LA",1716 ,188 ,700 ,1208 ,87 ,137 ,477559 ,85840 ,95512 ,19778 ,4223 ,1319 ,2 ,109%,77%,659,94%,55%,38%,430,61%,36%,25%,282,324%,206%,150%,141,162%,103%,75%,92,106%,67%,49%
"Lake Charles, LA",830 ,81 ,424 ,627 ,44 ,62 ,210604 ,37934 ,42121 ,8724 ,1863 ,582 ,1 ,93%,70%,291,69%,46%,35%,190,45%,30%,23%,124,282%,200%,153%,62,141%,100%,77%,40,91%,65%,49%
"Lakeland, FL",1046 ,103 ,382 ,714 ,57 ,80 ,317384 ,73118 ,63477 ,13450 ,2951 ,897 ,2 ,126%,86%,448,117%,63%,43%,292,76%,41%,28%,197,346%,246%,191%,98,172%,123%,95%,64,112%,80%,62%
"Lancaster, PA",1081 ,98 ,468 ,774 ,40 ,69 ,528715 ,112509 ,105743 ,22229 ,4833 ,1482 ,3 ,191%,137%,741,158%,96%,69%,483,103%,62%,45%,322,805%,467%,329%,161,403%,233%,164%,105,263%,152%,107%
"Lansing, MI",1444 ,240 ,632 ,1038 ,115 ,177 ,561636 ,102892 ,112327 ,23297 ,4984 ,1553 ,2 ,150%,108%,777,123%,75%,54%,506,80%,49%,35%,332,289%,188%,138%,166,144%,94%,69%,108,94%,61%,45%
"Las Vegas, NV",4165 ,761 ,1088 ,2626 ,162 ,462 ,1704994 ,321669 ,340999 ,70902 ,15213 ,4727 ,4 ,180%,113%,"2,363",217%,90%,57%,"1,541",142%,59%,37%,"1,014",626%,219%,133%,507,313%,110%,67%,331,204%,72%,43%
"Lawton, OK",733 ,76 ,346 ,539 ,32 ,54 ,152745 ,28422 ,30549 ,6344 ,1359 ,423 ,1 ,78%,58%,211,61%,39%,29%,138,40%,26%,19%,91,284%,169%,120%,45,141%,83%,59%,30,94%,56%,39%
"Lebanon, NH",939 ,105 ,333 ,636 ,56 ,80 ,320499 ,77792 ,64100 ,13657 ,3016 ,910 ,3 ,143%,97%,455,137%,72%,48%,297,89%,47%,32%,201,359%,251%,191%,101,180%,126%,96%,66,118%,83%,63%
"Lexington, KY",5045 ,579 ,2073 ,3559 ,172 ,375 ,1192842 ,231348 ,238568 ,49724 ,10700 ,3315 ,2 ,93%,66%,"1,657",80%,47%,33%,"1,081",52%,30%,21%,713,415%,190%,123%,357,208%,95%,62%,233,135%,62%,40%
"Lincoln, NE",2047 ,116 ,1016 ,1532 ,33 ,75 ,459005 ,93970 ,91801 ,19228 ,4162 ,1282 ,1 ,84%,63%,641,63%,42%,31%,418,41%,27%,20%,277,839%,369%,239%,139,421%,185%,120%,90,273%,120%,78%
"Little Rock, AR",4854 ,520 ,2174 ,3514 ,177 ,348 ,1212482 ,258840 ,242496 ,50992 ,11090 ,3399 ,2 ,97%,70%,"1,700",78%,48%,35%,"1,109",51%,32%,23%,739,418%,212%,142%,370,209%,106%,71%,241,136%,69%,46%
"Longview, TX",224 ,45 ,98 ,161 ,21 ,33 ,161316 ,33367 ,32263 ,6764 ,1466 ,451 ,5 ,280%,201%,225,230%,140%,100%,147,150%,91%,66%,98,467%,297%,218%,49,233%,148%,109%,32,152%,97%,71%
"Los Angeles, CA",19492 ,2415 ,6594 ,13043 ,942 ,1679 ,7874162 ,1268093 ,1574832 ,323312 ,68296 ,21554 ,3 ,165%,111%,"10,777",163%,83%,55%,"7,029",107%,54%,36%,"4,553",483%,271%,189%,"2,277",242%,136%,94%,"1,485",158%,88%,61%
"Louisville, KY",4162 ,506 ,1700 ,2931 ,165 ,335 ,1385741 ,271762 ,277148 ,57822 ,12458 ,3855 ,2 ,132%,93%,"1,927",113%,66%,46%,"1,257",74%,43%,30%,831,504%,248%,164%,415,252%,124%,82%,271,164%,81%,54%
"Lubbock, TX",1811 ,298 ,922 ,1367 ,85 ,191 ,546461 ,91980 ,109292 ,22513 ,4776 ,1501 ,2 ,110%,83%,750,81%,55%,41%,489,53%,36%,27%,318,374%,166%,107%,159,187%,83%,53%,104,122%,54%,35%
"Lynchburg, VA",1174 ,55 ,309 ,741 ,20 ,37 ,217344 ,49862 ,43469 ,9206 ,2019 ,614 ,2 ,83%,52%,307,99%,41%,26%,200,65%,27%,17%,135,675%,365%,245%,67,335%,181%,122%,44,220%,119%,80%
"Macon, GA",2295 ,240 ,865 ,1580 ,57 ,149 ,568689 ,111226 ,113738 ,23724 ,5110 ,1582 ,2 ,100%,69%,791,91%,50%,34%,516,60%,33%,22%,341,598%,229%,142%,170,298%,114%,71%,111,195%,74%,46%
"Madison, WI",2443 ,267 ,838 ,1640 ,121 ,194 ,886932 ,165619 ,177386 ,36850 ,7898 ,2457 ,3 ,150%,101%,"1,228",147%,75%,50%,801,96%,49%,33%,527,436%,272%,197%,263,217%,136%,99%,172,142%,89%,64%
"Manchester, NH",1603 ,137 ,582 ,1092 ,53 ,95 ,714679 ,143594 ,142936 ,29886 ,6456 ,1992 ,3 ,182%,124%,996,171%,91%,62%,650,112%,60%,41%,430,811%,453%,314%,215,406%,226%,157%,140,264%,147%,102%
"Manhattan, NY",14834 ,1427 ,3059 ,8946 ,616 ,1021 ,4173437 ,725342 ,834687 ,172372 ,36678 ,11491 ,4 ,128%,77%,"5,746",188%,64%,39%,"3,747",122%,42%,25%,"2,445",397%,239%,171%,"1,223",199%,120%,86%,797,129%,78%,56%
"Marquette, MI",601 ,47 ,276 ,438 ,18 ,32 ,159278 ,39415 ,31856 ,6802 ,1506 ,453 ,2 ,103%,75%,227,82%,52%,38%,148,54%,34%,25%,100,556%,313%,213%,50,278%,156%,106%,33,183%,103%,70%
"Marshfield, WI",706 ,68 ,281 ,494 ,34 ,51 ,295582 ,70770 ,59116 ,12577 ,2773 ,838 ,3 ,170%,119%,419,149%,85%,59%,273,97%,55%,39%,185,544%,363%,272%,92,271%,180%,135%,60,176%,118%,88%
"Mason City, IA",470 ,18 ,239 ,354 ,6 ,12 ,100326 ,26837 ,20065 ,4322 ,967 ,288 ,1 ,81%,61%,144,60%,41%,31%,94,39%,27%,20%,64,1067%,533%,356%,32,533%,267%,178%,21,350%,175%,117%
"McAllen, TX",1938 ,350 ,849 ,1394 ,133 ,241 ,486579 ,74033 ,97316 ,19897 ,4181 ,1326 ,2 ,95%,68%,663,78%,48%,34%,433,51%,31%,22%,279,210%,116%,80%,139,105%,58%,40%,91,68%,38%,26%
"Medford, OR",855 ,72 ,369 ,612 ,25 ,49 ,351154 ,95565 ,70231 ,15160 ,3398 ,1011 ,3 ,165%,118%,505,137%,83%,59%,330,89%,54%,39%,227,908%,463%,315%,113,452%,231%,157%,74,296%,151%,103%
"Melrose Park, IL",2902 ,334 ,1122 ,2012 ,137 ,236 ,1031510 ,185204 ,206302 ,42716 ,9119 ,2848 ,3 ,142%,98%,"1,424",127%,71%,49%,929,83%,46%,32%,608,444%,258%,182%,304,222%,129%,91%,198,145%,84%,59%
"Memphis, TN",5054 ,543 ,2045 ,3549 ,139 ,341 ,1366198 ,246308 ,273240 ,56595 ,12087 ,3773 ,2 ,106%,75%,"1,886",92%,53%,37%,"1,230",60%,35%,24%,806,580%,236%,148%,403,290%,118%,74%,263,189%,77%,48%
"Meridian, MS",1117 ,57 ,445 ,781 ,19 ,38 ,148060 ,32340 ,29612 ,6241 ,1361 ,416 ,1 ,53%,37%,208,47%,27%,19%,136,31%,17%,12%,91,479%,239%,160%,45,237%,118%,79%,30,158%,79%,53%
"Mesa, AZ",2091 ,291 ,648 ,1370 ,108 ,200 ,1135619 ,212738 ,227124 ,47196 ,10119 ,3146 ,5 ,230%,150%,"1,573",243%,115%,75%,"1,026",158%,75%,49%,675,625%,338%,232%,337,312%,169%,116%,220,204%,110%,76%
"Metairie, LA",857 ,111 ,406 ,631 ,44 ,78 ,366346 ,76217 ,73269 ,15369 ,3333 ,1025 ,3 ,162%,120%,512,126%,81%,60%,334,82%,53%,39%,222,505%,285%,200%,111,252%,142%,100%,72,164%,92%,65%
"Miami, FL",9139 ,981 ,2952 ,6045 ,280 ,630 ,2741481 ,526396 ,548296 ,114178 ,24544 ,7612 ,3 ,126%,83%,"3,806",129%,63%,42%,"2,482",84%,41%,27%,"1,636",584%,260%,167%,818,292%,130%,83%,534,191%,85%,54%
"Milwaukee, WI",5263 ,818 ,2207 ,3735 ,323 ,570 ,2079205 ,380644 ,415841 ,86242 ,18447 ,5749 ,3 ,154%,109%,"2,875",130%,77%,55%,"1,875",85%,50%,36%,"1,230",381%,216%,150%,615,190%,108%,75%,401,124%,70%,49%
"Minneapolis, MN",6954 ,612 ,2458 ,4706 ,238 ,425 ,2570355 ,478271 ,514071 ,106761 ,22874 ,7117 ,3 ,151%,102%,"3,559",145%,76%,51%,"2,321",94%,49%,33%,"1,525",641%,359%,249%,762,320%,179%,125%,497,209%,117%,81%
"Minot, ND",916 ,19 ,384 ,650 ,9 ,14 ,112434 ,19303 ,22487 ,4639 ,986 ,309 ,1 ,48%,34%,155,40%,24%,17%,101,26%,16%,11%,66,733%,471%,347%,33,367%,236%,174%,21,233%,150%,111%
"Missoula, MT",1002 ,79 ,455 ,729 ,39 ,59 ,315091 ,74302 ,63018 ,13385 ,2946 ,892 ,2 ,122%,89%,446,98%,61%,45%,291,64%,40%,29%,196,503%,332%,248%,98,251%,166%,124%,64,164%,108%,81%
"Mobile, AL",2066 ,282 ,695 ,1380 ,101 ,191 ,648957 ,135227 ,129791 ,27230 ,5906 ,1815 ,3 ,132%,88%,908,131%,66%,44%,592,85%,43%,29%,394,390%,206%,140%,197,195%,103%,70%,128,127%,67%,45%
"Modesto, CA",1478 ,118 ,467 ,972 ,44 ,81 ,680976 ,119559 ,136195 ,28149 ,5996 ,1877 ,4 ,193%,127%,938,201%,97%,63%,612,131%,63%,41%,400,909%,494%,339%,200,455%,247%,169%,130,295%,160%,110%
"Monroe, LA",1064 ,102 ,561 ,813 ,36 ,69 ,204787 ,41070 ,40957 ,8562 ,1849 ,571 ,1 ,70%,54%,285,51%,35%,27%,186,33%,23%,17%,123,342%,178%,121%,62,172%,90%,61%,40,111%,58%,39%
"Montgomery, AL",1225 ,131 ,461 ,843 ,61 ,96 ,360863 ,68023 ,72173 ,15005 ,3219 ,1000 ,2 ,119%,82%,500,108%,59%,41%,326,71%,39%,27%,215,352%,224%,164%,107,175%,111%,82%,70,115%,73%,53%
"Morgantown, WV",1555 ,155 ,499 ,1027 ,40 ,97 ,329288 ,68760 ,65858 ,13819 ,2998 ,921 ,2 ,90%,59%,461,92%,45%,30%,300,60%,29%,19%,200,500%,206%,129%,100,250%,103%,65%,65,163%,67%,42%
"Morristown, NJ",1862 ,147 ,589 ,1226 ,54 ,101 ,795142 ,157620 ,159028 ,33210 ,7163 ,2214 ,4 ,181%,119%,"1,107",188%,90%,59%,722,123%,59%,39%,478,885%,473%,325%,239,443%,237%,163%,156,289%,154%,106%
"Muncie, IN",377 ,36 ,129 ,253 ,8 ,22 ,128803 ,27663 ,25761 ,5420 ,1180 ,361 ,3 ,143%,96%,181,140%,72%,48%,118,91%,47%,31%,79,988%,359%,219%,39,488%,177%,108%,26,325%,118%,72%
"Munster, IN",1500 ,105 ,642 ,1071 ,42 ,74 ,239843 ,45234 ,47969 ,9974 ,2140 ,665 ,1 ,62%,44%,332,52%,31%,22%,217,34%,20%,14%,143,340%,193%,136%,71,169%,96%,68%,47,112%,64%,45%
"Muskegon, MI",501 ,57 ,253 ,377 ,40 ,49 ,209507 ,45654 ,41901 ,8829 ,1925 ,589 ,2 ,156%,118%,294,116%,78%,59%,192,76%,51%,38%,128,320%,261%,225%,64,160%,131%,112%,42,105%,86%,74%
"Napa, CA",456 ,70 ,152 ,304 ,41 ,56 ,218503 ,53625 ,43701 ,9322 ,2062 ,621 ,4 ,204%,136%,311,205%,102%,68%,203,134%,67%,45%,137,334%,245%,196%,69,168%,123%,99%,45,110%,80%,64%
"Nashville, TN",7810 ,1118 ,2987 ,5398 ,317 ,717 ,2282662 ,410987 ,456532 ,94550 ,20190 ,6303 ,2 ,117%,81%,"3,152",106%,58%,40%,"2,055",69%,38%,26%,"1,346",425%,188%,120%,673,212%,94%,60%,439,138%,61%,39%
"Neenah, WI",447 ,46 ,262 ,355 ,25 ,35 ,191863 ,39899 ,38373 ,8049 ,1745 ,537 ,2 ,151%,120%,268,102%,75%,60%,175,67%,49%,39%,116,464%,331%,252%,58,232%,166%,126%,38,152%,109%,83%
"New Brunswick, NJ",2177 ,213 ,616 ,1397 ,126 ,170 ,845392 ,153380 ,169078 ,35039 ,7488 ,2336 ,4 ,167%,107%,"1,168",190%,84%,54%,762,124%,55%,35%,499,396%,294%,234%,250,198%,147%,117%,163,129%,96%,77%
"New Haven, CT",2825 ,286 ,610 ,1717 ,118 ,202 ,1177072 ,244084 ,235414 ,49366 ,10701 ,3291 ,5 ,192%,116%,"1,646",270%,96%,58%,"1,073",176%,62%,38%,713,604%,353%,249%,357,303%,177%,125%,233,197%,115%,81%
"New Orleans, LA",2491 ,313 ,869 ,1680 ,77 ,195 ,554325 ,92037 ,110865 ,22813 ,4833 ,1521 ,2 ,91%,61%,760,87%,45%,31%,496,57%,30%,20%,322,418%,165%,103%,161,209%,83%,51%,105,136%,54%,34%
"Newark, NJ",3636 ,403 ,1033 ,2334 ,195 ,299 ,1233539 ,198090 ,246708 ,50638 ,10694 ,3376 ,3 ,145%,93%,"1,688",163%,72%,46%,"1,101",107%,47%,30%,713,366%,238%,177%,356,183%,119%,88%,232,119%,78%,58%
"Newport News, VA",905 ,145 ,251 ,578 ,45 ,95 ,447424 ,89385 ,89485 ,18700 ,4037 ,1247 ,5 ,216%,138%,623,248%,108%,69%,407,162%,70%,45%,269,598%,283%,186%,135,300%,142%,93%,88,196%,93%,61%
"Norfolk, VA",2543 ,276 ,782 ,1663 ,82 ,179 ,1023500 ,174191 ,204700 ,42203 ,8962 ,2814 ,4 ,169%,111%,"1,407",180%,85%,55%,917,117%,55%,36%,597,728%,334%,216%,299,365%,167%,108%,195,238%,109%,71%
"Ocala, FL",902 ,150 ,289 ,596 ,51 ,100 ,449792 ,185054 ,89958 ,20608 ,4918 ,1374 ,5 ,231%,152%,687,238%,115%,76%,448,155%,75%,50%,328,643%,328%,219%,164,322%,164%,109%,107,210%,107%,71%
"Odessa, TX",1014 ,101 ,543 ,779 ,38 ,70 ,283753 ,43182 ,56751 ,11603 ,2438 ,774 ,1 ,99%,76%,387,71%,50%,38%,252,46%,32%,25%,163,429%,233%,161%,81,213%,116%,80%,53,139%,76%,52%
"Ogden, UT",750 ,110 ,371 ,561 ,42 ,76 ,356000 ,51907 ,71200 ,14514 ,3039 ,968 ,3 ,173%,129%,484,130%,86%,65%,316,85%,56%,42%,203,483%,267%,185%,101,240%,133%,92%,66,157%,87%,60%
"Oklahoma City, OK",5541 ,582 ,2447 ,3994 ,225 ,404 ,1491485 ,279037 ,298297 ,61978 ,13287 ,4132 ,2 ,103%,75%,"2,066",84%,52%,37%,"1,347",55%,34%,24%,886,394%,219%,152%,443,197%,110%,76%,289,128%,72%,50%
"Olympia, WA",558 ,84 ,173 ,365 ,25 ,54 ,320156 ,71021 ,64031 ,13515 ,2952 ,901 ,5 ,247%,161%,450,260%,123%,81%,294,170%,81%,53%,197,788%,365%,235%,98,392%,181%,117%,64,256%,119%,76%
